JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
ct8msxq7rgf00085pyxg,ct8mkdd7rgf00085pwyg,Cancelled,,2024-07-12T15:34:15.087163Z,2024-07-12T21:27:09.265198Z,estimator,,ibm_kyoto,ibm-q/open/main,,0
ct8msppykbsg008z0h8g,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:33:46.423976Z,2024-07-12T15:34:12.228Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8msf53b8m0008catsg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:33:17.029548Z,2024-07-12T15:33:43.31Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8ms7wykbsg008z0h30,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:32:47.590883Z,2024-07-12T15:33:14.171Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mrzvykbsg008z0h10,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:32:15.590511Z,2024-07-12T15:32:44.504Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mrrkqsez0008a3f40,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:31:46.815761Z,2024-07-12T15:32:12.473Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mrha7rgf00085pydg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:31:17.724727Z,2024-07-12T15:31:43.895Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mr70ykbsg008z0gpg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:30:36.746509Z,2024-07-12T15:31:14.75Z,estimator,,ibm_kyoto,ibm-q/open/main,,7
ct8mqzq7rgf00085py8g,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:30:06.95403Z,2024-07-12T15:30:34.142Z,estimator,,ibm_kyoto,ibm-q/open/main,,7
ct8mqrfykbsg008z0ggg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:29:37.881996Z,2024-07-12T15:30:03.516Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mqh6wmw20008wjqv0,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:29:08.341856Z,2024-07-12T15:29:33.969Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mq9nqsez0008a3ehg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:28:38.535181Z,2024-07-12T15:29:05.228Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mq24qsez0008a3ee0,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:28:08.91529Z,2024-07-12T15:28:34.951Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mpv3qsez0008a3ec0,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:27:40.175899Z,2024-07-12T15:28:05.852Z,estimator,,ibm_kyoto,ibm-q/open/main,,7
ct8mpkj7rgf00085pxtg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:27:11.02225Z,2024-07-12T15:27:37.528Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mpchcvhg0008wqmzg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:26:42.231266Z,2024-07-12T15:27:07.866Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mp5g7rgf00085pxp0,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:26:14.196064Z,2024-07-12T15:26:39.098Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mnyq7rgf00085pxkg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:25:46.448901Z,2024-07-12T15:26:11.374Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mnq6ykbsg008z0fvg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:25:16.80099Z,2024-07-12T15:25:43.243Z,estimator,,ibm_kyoto,ibm-q/open/main,,7
ct8mnfxqsez0008a3e10,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:24:48.018529Z,2024-07-12T15:25:13.671Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mn8xcvhg0008wqmn0,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:24:19.736698Z,2024-07-12T15:24:45.067Z,estimator,,ibm_kyoto,ibm-q/open/main,,7
ct8mn1m3b8m0008casfg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:23:50.657676Z,2024-07-12T15:24:16.31Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mmtbcvhg0008wqmdg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:23:21.244512Z,2024-07-12T15:23:47.833Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mmk2qsez0008a3dqg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:22:53.144083Z,2024-07-12T15:23:17.934Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mmbswmw20008wjpz0,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:22:24.075308Z,2024-07-12T15:22:49.765Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mm4gcvhg0008wqm30,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:21:54.229217Z,2024-07-12T15:22:21.047Z,estimator,,ibm_kyoto,ibm-q/open/main,,7
ct8mkwzykbsg008z0fag,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:21:24.105585Z,2024-07-12T15:21:50.154Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mknywmw20008wjpv0,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:20:56.06664Z,2024-07-12T15:21:21.488Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
ct8mke53b8m0008carzg,ct8mkdd7rgf00085pwyg,Completed,,2024-07-12T15:20:24.820949Z,2024-07-12T15:20:50.291Z,estimator,,ibm_kyoto,ibm-q/open/main,,6
